country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,84700,97400,105000,96600,96100,99000,102000,111000,100000,93000,76200,129000,181000,200000,220000,226000,184000,218000,201000,220000,241000,212000,212000,197000,238000,250000,256000,89600,52700,140000,150000,,,,,,,,,,2000000,2280000,1740000,2040000,2210000,1930000,1920000,1860000
Albania,,,,,,,,,,,,,,,,,,,,,,,,,9100,13000,29000,55400,21200,91500,137000,146000,138000,159000,180000,196000,213000,239000,244000,231000,769000,830000,814000,866000,152000,,26600,103000
Algeria,563000,715000,844000,1050000,1250000,1620000,1680000,2000000,2230000,2660000,2950000,3000000,3150000,3410000,3780000,3970000,3690000,3570000,3660000,3860000,3750000,3390000,3550000,3250000,3240000,3480000,3490000,3520000,3380000,2940000,3000000,3420000,3000000,3290000,3240000,3040000,2900000,2810000,2880000,4370000,3370000,3540000,4080000,4490000,5020000,5400000,6090000,6240000
Angola,,,,,,,155000,283000,308000,546000,635000,801000,891000,953000,690000,894000,727000,746000,750000,510000,452000,456000,440000,334000,519000,553000,585000,555000,553000,294000,235000,193000,190000,198000,222000,240000,263000,277000,284000,275000,1010000,988000,1130000,1320000,1410000,1240000,1480000,1580000
Antigua and Barbuda,,,,,,,,,,,,389000,377000,385000,420000,500000,600000,582000,700000,740000,755000,870000,914000,955000,1000000,1050000,1100000,1250000,1250000,1370000,1430000,1370000,1290000,1430000,714000,778000,755000,800000,813000,748000,1550000,1420000,1310000,1220000,1220000,1040000,1040000,591000
Argentina,2330000,2220000,2360000,2310000,2940000,3300000,3290000,3880000,3950000,5020000,5590000,4890000,4600000,4400000,5160000,4710000,5030000,5410000,5070000,4750000,5370000,4550000,5250000,5100000,6260000,6640000,7910000,8600000,8450000,9190000,8920000,5810000,5660000,6040000,6800000,6940000,6610000,7040000,6150000,5690000,9030000,8590000,9380000,12000000,12100000,14200000,15100000,18300000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,368000,365000,343000,298000,369000,408000,367000,510000,556000,606000,561000,624000,653000,705000,392000,365000,45000,0,,,
Australia,7320000,7330000,7800000,9380000,10700000,11100000,10900000,11300000,12100000,13000000,13600000,13200000,13200000,12600000,13200000,14400000,15500000,16900000,18800000,15100000,17600000,21900000,23900000,26900000,26900000,28800000,30100000,31000000,30200000,31600000,32600000,33500000,39000000,41400000,41600000,44700000,47000000,48700000,51500000,50000000,60600000,63400000,66400000,68200000,68100000,69800000,72400000,74300000
Austria,511000,582000,707000,831000,841000,912000,1060000,1140000,1240000,1300000,1280000,1360000,1450000,1500000,1510000,1710000,1640000,1880000,1960000,2280000,2530000,2610000,3020000,3300000,3750000,4270000,4720000,5150000,5870000,6060000,6640000,6550000,7070000,6900000,7620000,8040000,8790000,9140000,9140000,8520000,13500000,14100000,14500000,15000000,15200000,14700000,14700000,16200000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,1450000,1380000,1380000,1160000,1230000,982000,669000,572000,546000,544000,575000,684000,1010000,1130000,1250000,1440000,756000,840000,797000,1350000,1560000,1650000,1770000,1800000,1960000,2330000
Bahamas,,,,,,232000,245000,252000,268000,314000,345000,740000,724000,699000,706000,861000,958000,995000,1070000,1150000,1090000,1090000,835000,862000,862000,937000,978000,704000,701000,1720000,1860000,1630000,1540000,1600000,900000,1020000,1030000,1090000,1090000,979000,968000,1060000,1050000,577000,991000,900000,937000,921000
